AJU; Aeroporto Santa Maria, Aracaju (SE);
BEL; Aeroporto Val de Caes, Belem (PA);
BGX; Aeroporto de Bage (RS);
BNU; Aeroporto de Blumenau (SC);
BPS; Aeroporto de Porto Seguro (BA);
BSB; Aeroporto Juscelino Kubitschek, Brasilia (DF);
BVB; Aeroporto de Boa Vista RO);
CAC; Aeroporto de Cascavel (PR);
CFB; Aeroporto de Cabo Frio (RJ);
CGB; Aeroporto de Cuiaba (MT);
CGH; Aeroporto de Congonhas, Sao Paulo (SP);
CGR; Aeroporto de Campo Grande (MS);
CNF; Aeroporto de Confins, Belo Horizonte (MG);
CPV; Aeroporto Joao Suassuna, Campina Grande (PB);
CWB; Aeroporto Afonso Pena, Curitiba (PR);
CXJ; Aeroporto de Caxias do Sul (RS);
FLN; Aeroporto de Florianapolis (SC);
FOR; Aeroporto Pinto Martins, Fortaleza (CE);
GIG; Aeroporto do Galeao, Rio de Janeiro (RJ);
GPB; Aeroporto de Guarapuava (PR);
GRU; Aeroporto Franco Montoro, em Guarulhos (SP);
GYN; Aeroporto de Goiania (GO);
IGU; Aeroporto das Cataratas, Foz do Iguacu (PR);
IMP; Aeroporto Prefeito Renato Moreira, Imperatriz (MA);
IOS; Aeroporto de Ilhaus (BA);
JDO; Aeroporto do Cariri, Juazeiro do Norte (CE);
JOI; Aeroporto de Joinville (SC);
JPA; Aeroporto Pres. Castro Pinto, Joao Pessoa (PB);
LDB; Aerooporto de Londrina (PR);
LAJ; Aeroporto de Lages (SC);
MAO; Aeroporto Eduardo Gomes, Manaus (AM);
MCZ; Aeroporto Zumbi dos Palmares, Maceio (AL);
MGF; Aeroporto de Maringa (PR);
MVF; Aeroporto de Mossoro (RN);
NAT; Aeroporto Augusto Severo, Natal (RN);
PET; Aeroporto de Pelotas (RS);
PLU; Aeroporto da Pampulha, Belo Horizonte (MG);
PHB; Aeroporto de Parnaiba (PI);
PFB; Aeroporto de Passo Fundo (RS);
PMW; Aeroporto de Palmas (TO);
PNZ; Aeroporto de Petrolina (PE);
POA; Aeroporto Salgado Filho, Porto Alegre (RS);
REC; Aeroporto dos Guararapes, Recife (PE);
RIA; Aeroporto de Santa Maria (RS);
SDU; Aeroporto Santos Dumont, Rio de Janeiro (RJ);
SLZ; Aeroporto Marechal Cunha Machado, Sao Luis (MA);
SOD; Aeroporto de Sorocaba (SP);
SSA; Aeroporto de Salvador (BA);
THE; Aeroporto Senador Petronio Portela, Teresina (PI);
VCP; Aeroporto de Viracopos, em Campinas (SP);
UDI; Aeroporto de Uberlandia (MG);
VDC; Aeroporto de Vitoria da Conquista (BA);
VIX; Aeroporto de Vitoria (ES);
XAP; Aeroporto de Chapeco (SC);
